"22","9","1985","DS","0.152"
"13","10","1985","DS","0.145"
"13","10","1985","DS","0.138"
"13","10","1985","DS","0.152"
"17","11","1985","DS","0.125"
"8","12","1985","DS","0.155"
"9","3","1986","DS","0.156"
"9","3","1986","DS","0.134"
"13","4","1986","DS","0.157"
"13","4","1986","DS","0.135"
"13","4","1986","DS","0.125"
"13","4","1986","DS","0.129"
"11","5","1986","DS","0.084"
"11","5","1986","DS","0.129"
"11","5","1986","DS","0.152"
"5","6","1986","DS","0.152"
"5","6","1986","DS","0.129"
"4","7","1986","DS","0.125"
"4","7","1986","DS","0.156"
"10","8","1986","DS","0.098"
"7","9","1986","DS","0.118"
"7","9","1986","DS","0.15"
"5","10","1986","DS","0.131"
"16","11","1986","DS","0.135"
"16","11","1986","DS","0.13"
"15","12","1986","DS","0.142"
"15","12","1986","DS","0.145"
"1","2","1987","DS","0.126"
"1","2","1987","DS","0.136"
"2","3","1987","DS","0.178"
"2","3","1987","DS","0.128"
"2","3","1987","NA","0.17"
"2","3","1987","DS","0.129"
"6","4","1987","DS","0.131"
"6","4","1987","NA","0.099"
"6","4","1987","DS","0.126"
"26","4","1987","DS","0.079"
"26","4","1987","DS","0.137"
"26","4","1987","DS","0.152"
"28","5","1987","NA","0.169"
"28","5","1987","DS","0.08"
"28","5","1987","DS","0.125"
"1","7","1987","NA","0.1"
"1","7","1987","DS","0.121"
"1","7","1987","NA","0.118"
"26","7","1987","DS","0.088"
"26","7","1987","NA","0.12"
"26","7","1987","DS","0.116"
"26","7","1987","NA","0.139"
"26","8","1987","DS","0.1"
"26","8","1987","NA","0.133"
"26","8","1987","DS","0.115"
"27","9","1987","DS","0.132"
"27","9","1987","DS","0.129"
"25","10","1987","NA","0.188"
"25","10","1987","DS","0.128"
"22","11","1987","DS","0.128"
"24","1","1988","DS","0.148"
"21","2","1988","DS","0.136"
"14","5","1988","DS","0.116"
"14","5","1988","DS","0.082"
"11","6","1988","NA","0.174"
"11","6","1988","DS","0.088"
"11","6","1988","DS","0.115"
"14","7","1988","NA","0.223"
"9","8","1988","NA","0.207"
"9","8","1988","NA","0.109"
"11","9","1988","NA","0.155"
"8","10","1988","NA","0.162"
"4","11","1989","NA","0.156"
"24","2","1990","NA","0.152"
"30","7","1992","NA","0.09"
"19","8","1993","NA","0.145"
"25","10","1997","NA","0.122"
"11","9","1999","NA","0.227"
"30","9","2000","NA","0.171"
"26","5","2001","NA","0.094"
"26","5","2001","NA","0.171"
"25","6","2001","NA","0.159"
"22","9","2001","NA","0.187"
"13","10","2001","NA","0.188"
"15","12","2001","NA","0.231"
"16","4","2002","NA","0.227"
"15","5","2002","NA","0.205"
"15","5","2002","NA","0.138"
"7","12","2002","NA","0.196"
